iter	Logloss
0	0.6520402527
1	0.6189845276
2	0.5893568802
3	0.5671792603
4	0.5464924622
5	0.5306452942
6	0.518936882
7	0.5081984329
8	0.4988304901
9	0.4920059204
10	0.4848394775
11	0.4789170837
12	0.4746784592
13	0.4665962601
14	0.4610503387
15	0.4579592896
16	0.4533766174
17	0.449684906
18	0.4453924561
19	0.441632843
20	0.4370030975
21	0.4328843689
22	0.4289095688
23	0.4261534119
24	0.4215688324
25	0.4192584991
26	0.4158817673
27	0.4124274445
28	0.4106074905
29	0.407878418
30	0.4053406525
31	0.4014523697
32	0.3996006775
33	0.3974742889
34	0.3968799591
35	0.3941695404
36	0.3919989014
37	0.3902046967
38	0.3881851196
39	0.3841926575
40	0.3800818634
41	0.3764785004
42	0.3737056351
43	0.3703277588
44	0.3690575409
45	0.367226944
46	0.3641188431
47	0.3625697708
48	0.3598908615
49	0.3579589462
50	0.3561800385
51	0.3553321457
52	0.3518428421
53	0.3492107391
54	0.3470510483
55	0.3448719788
56	0.3389482117
57	0.3356117249
58	0.3341801834
59	0.3314854431
60	0.3297431946
61	0.3264814758
62	0.3242615509
63	0.3218922424
64	0.3174266815
65	0.3145075989
66	0.3133221817
67	0.3106093597
68	0.3089445305
69	0.3069560242
70	0.3052157593
71	0.3029906654
72	0.3018020248
73	0.3000008965
74	0.2983796501
75	0.2964671135
76	0.2938909531
77	0.2913028336
78	0.2893047905
79	0.2879166031
80	0.2858092308
81	0.2823474503
82	0.2807383156
83	0.2782974625
84	0.2760439301
85	0.274274292
86	0.2715542221
87	0.2683422661
88	0.2656311417
89	0.2650953674
90	0.2631604004
91	0.2614539719
92	0.2601089478
93	0.2571876144
94	0.2544402122
95	0.2528311157
96	0.2478368187
97	0.2452613068
98	0.2426804733
99	0.2403435707
100	0.2378466034
101	0.236384201
102	0.2342841339
103	0.2316651535
104	0.2297968864
105	0.2275532532
106	0.22567276
107	0.2231036949
108	0.2209111977
109	0.2205645561
110	0.2198716927
111	0.2183189583
112	0.2167506409
113	0.2158808517
114	0.2126676559
115	0.2114593315
116	0.2100259018
117	0.2082324791
118	0.2074299622
119	0.2052570343
120	0.2037071609
121	0.2022715569
122	0.2008235359
123	0.1998078918
124	0.1987679672
125	0.19797966
126	0.1962470245
127	0.1951952171
128	0.1942556381
129	0.1931658173
130	0.1912604904
131	0.1906541443
132	0.1894236755
133	0.1877763939
134	0.1849753571
135	0.1835507584
136	0.1819726372
137	0.1801746178
138	0.1794249153
139	0.1780484009
140	0.1768022537
141	0.176320591
142	0.1743624496
143	0.1725059128
144	0.17136343
145	0.1699572754
146	0.168859539
147	0.1675747108
148	0.1665604401
149	0.1644971085
150	0.1636800385
151	0.1620765495
152	0.1614553452
153	0.1588837528
154	0.1571188068
155	0.1545083809
156	0.153586216
157	0.1522903442
158	0.1514240551
159	0.1504953194
160	0.1494749355
161	0.1482320976
162	0.1479663467
163	0.146989069
164	0.1460136509
165	0.1439362907
166	0.142939415
167	0.141565094
168	0.1406117058
169	0.1388996887
170	0.138017168
171	0.1367056751
172	0.135337944
173	0.1343731689
174	0.1332688713
175	0.1323732185
176	0.1312090778
177	0.1306895542
178	0.1300930214
179	0.129392128
180	0.1279468536
181	0.1270895576
182	0.1262222672
183	0.1259344864
184	0.1255229187
185	0.1244726181
186	0.1233700752
187	0.1228629112
188	0.120616703
189	0.1198021221
190	0.1185547638
191	0.117584362
192	0.1169102859
193	0.1162402344
194	0.1158365726
195	0.115115366
196	0.1144432831
197	0.1134763908
198	0.1124711514
199	0.1120154285
